BusinessName,ClosingTime,Capacity,Phone,Address,Location,LocationComment
BASHO FENWAY VENTURES LLC,1:00 AM,194,NULL,"1330 Boylston St, Boston MA","(42.3441433, -71.0983905)",IN TWO DINING ROOMS ON THE FIRST FLOOR; KITCHEN  STORAGE AND OFFICES IN THE REAR; ANNUAL OUTDOOR PATIO ON PRIVATE PROPERTY FOR 48 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.  Inside capacity 194: 31 @ bar stools; 146 @ tables; 17 standing.
"49 MELCHER RESTAURANT GROUP, LLC",2:00 AM,460,NULL,"49 Melcher ST, Boston MA","(42.349393, -71.0501922)",MAIN ENTRANCE AND EXIT AT 40 MELCHER STREET  WITH TWO ADDITIONAL EXITS ON NECCO COURT.  TWO ROOMS ON THE FIRST FLOOR WITH STORAGE  MAIN ENTRANCE AND EXIT ON MELCHER STREET WITH AN ADDITIONAL EXIT ON NECCO COURT.  ONE ROOM AND KITCHEN WITH OFFICE AND STORAGE ON THE STREET LEVEL WITH MAIN ENTRANCE FRO
"BATTERY PARK LOUNGE AND RESTAURANT GROUP, LLC",2:00 AM,159,NULL,"33 BATTERYMARCH ST, Boston MA","(42.357385, -71.054103)",IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR WITH STORAGE IN REAR  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM MARCH - NOVEMBER FOR 110 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 2:00 A.M.
"BOSTON BEVERAGES SERVICES, INC.",2:00 AM,0,(617)733-9022,"3 Battery WH, Boston MA","(42.3673578, -71.0502657)",IN WHOLE OF SAID BUILDINGS NO. 2  3  4 & 5.  INCLUDES AN OUTDOOR PATIO ON PRIVATE PROPERTY AT BUILDING 3 WITH A TOTAL OF 86 SEATS.
"STATE ROOM, INC.",2:00 AM,835,NULL,"60 State ST, Boston MA","(42.35903, -71.05646)",Two entrances exits to Market Sq. Emergency exit to garage of 60 State St.; Three lounge areas  including bar  Five dining areas  including greenhouse  separate capacity  Entire 33rd floor. additional 6 private and public dining rooms.
"MONDAY AFTERNOON, INC.",2:00 AM,268,NULL,"149 Charles ST, Boston MA","(42.3604569, -71.0707923)",Rear exit to alley; in two rooms and kitchen on first floor; cellar for stock.  149A CHARLES STREET  BOSTON  MA  02114
"BOSWORTH PLACE, INC.",2:00 AM,249,NULL,"100 Tremont ST, Boston MA","(42.3573136, -71.0611237)",Enlarge licensed premises by approximately 584 S.F (to recapture portion of premises previously sublet to retail coin shop)  increase occupancy from 249 to 275 persons; new space to be occupied by Ziggy's Coffee Bar with separate main entry by day and as additional seating for Beantown Pub by night;
"WHEELING'S BAR, LLC",2:00 AM,360,NULL,"541 Tremont St, Boston MA","(42.3444932, -71.0714971)",IN ONE ROOM ON THE 1ST FLOOR WITH BAR; IN ONE LARGE ROOM IN BASEMENT WITH  KITCHEN  STORAGE AREA & OFFICE & TO INCLUDE 1 OUTDOOR SEASONAL PATIO IN FRONT OF PREMISES FROM APRIL THROUGH OCTOBER FOR 80 PATRONS.  Capacity breakdown: mazzanine - 68 (44 seated  24 standing); lower level - 292 (80 seated 
SLESAR BROS. BREWING COMPANY,2:00 AM,595,(617)896-2300,"112 Canal St, Boston MA","(42.364407, -71.0604379)",APPROXIMATELY 16 000 SQ. FT. BREW PUB WITH FULL SERVICE RESTAURANT AND MICRO-BREWERY ON THE 1ST AND 2ND FLOORS INCLUDING AN OUTDOOR PATIO.  INCLUDING 2 ENTRANCES  2 EMERGENCY EXITS  LOCATED AT 110 CANAL STREET; BOSTON  MA 02114.
BELLA ARIANNA LLC,1:00 AM,160,NULL,"107 South ST, Boston MA","(42.3514569, -71.05751459999999)",In one room on the first floor  kitchen and storage in the rear.  Total sq. foot:  5 000.  Number of entrances: 3
OLD COLONIAL CORPORATION,2:00 AM,496,NULL,"45 Union ST, Boston MA","(42.3615117, -71.0570445)",Unnumbered entrance and exit on Marshall Street; in three rooms and kitchen on the first floor; cellar for stock and one large room on the second floor.  Capacity breakdown: 1st fl - 296; 2nd fl - 200.
"BELLA LUNA RESTAURANT, INC.",1:00 AM,200,NULL,"284 Amory St, Jamaica Plain MA","(42.3147273, -71.1045487)",IN TWO ROOMS ON FIRST FLOOR WITH KITCHEN & STORAGE IN REAR LEFT OF PREMISES; TWO ENTRANCES ON AMORY STREET & THREE EMERGENCY EXITS AND TO INCLUDE SEASONAL OUTDOOR DINING FROM APRIL - OCTOBER FOR 60 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 10:00 A.M. - 11:00 P.M.  Capacity breakdown - 150 sea
"111 SALEM GROUP, INC.",11:00 PM,40,NULL,"111 Salem ST, Boston MA","(42.3642823, -71.055398)",IN ONE ROOM ON FIRST FLOOR; KITCHEN IN THE REAR  STORAGE  PREP AREA IN BASEMENT; WITH THE OFFICE ON THE SECOND FLOOR.
BERTUCCI'S RESTAURANT CORP.,MIDNIGHT,219,NULL,"533 Commonwealth AV, Boston MA","(42.3492539, -71.096595)",IN ONE LARGE ROOM ON GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR WITH ONE SMALL BAR.  533 COMMONWEALTH AVENUE  BOSTON  MA  02215
BERTUCCI'S  RESTAURANT CORP.,MIDNIGHT,219,NULL,"683 VFW PW, Boston MA","(0, 0)",679-683 VFW Parkway  in one room with an outside patio on the first floor with a rear room for kitchen and storage also storage in basemet with an enlarged existing kitchen and prep area in additional space previously numbered 679 V.F.W.Parkway.  Capacity breakdown: 219 inside; 28 outside.
BERTUCCI'S RESTAURANT CORP.,MIDNIGHT,178,NULL,"1 Blackfan CI, Boston MA","(42.3390285, -71.1042571)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  WITH ONE SERVICE BAR WITH TWELVE SEATS.  ONE BLACKFAN CIRCLE  BOSTON  MA  02115
BERTUCCI'S RESTAURANT CORP.,1:00 AM,210,NULL,"22 Merchants Ro, Boston MA","(42.3593983, -71.0558269)",REAR ENTRANCE FOR STOCK; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK.
"UVM.,INC.",2:00 AM,57,NULL,"141 Pearl ST, Boston MA","(42.3547102, -71.0536481)",REAR EMERGENCY EXIT; IN ONE ROOM AND KITCHEN ON THE FIRST FLOOR  CELLAR FOR STOCK.
"FUENTE CLEANING SERVICES, INC.",2:00 AM,49,NULL,"28 Bennington St, East Boston MA","(42.37537, -71.0380206)",IN ONE ROOM ON GROUND FLOOR FOR BILLIARDS  WITH FOOD PREPARATION AND SERVING COUNTER IN FRONT; MAIN ENTRANCE ON BENNINGTON STREET; AND EMERGENCY EXIT IN REAR; CELLAR FOR STOCK AND OFFICE.
"CONCORDE ENTERTAINMENT, INC.",2:00 AM,907,NULL,"9 Lansdowne ST, Boston MA","(42.34732020000001, -71.0951975)",IN TWO ROOMS  ENTRANCEWAY AND OFFICE  ON THE FIRST FLOOR; WITH  ADDITIONAL ENTRANCE AND EXIT FOR PATRONS AND DELIVERIES TO DRIVEWAY IMMEDIATELY ADJACENT TO THE PREMSIES AND TO INCLUDE AN OUTDOOR PATIO FOR 74 PATRONS BETWEEN THE HOURS OF 8:00 A.M. - 2:00 A.M.  DPW LAND.  CAPACITY BREAKDOWN: BILL'S BA
"CUISINE DE ASIA, INC.",MIDNIGHT,90,NULL,"240 Commercial ST, Boston MA","(42.3638697, -71.051425)",IN TWO ROOMS ON THE FIRST FLOOR  BASEMENT FOR STOCK; AND TO INCLUDE A SEASONAL SIDEWALK CAFE FOR 20 PATRONS ON PUBLIC PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - MIDNIGHT
"BEACON HILL HOSPITALITY GROUP, INC.",MIDNIGHT,64,NULL,"20 Charles ST, Boston MA","(42.3566637, -71.0699582)",IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT.
"Cabana Restaurant, LLC",1:00 AM,87,NULL,"254 Bennington St, East Boston MA","(42.3786127, -71.0293709)",In one room and kitchen on the first floor; one room and kitchen on the second floor; cellar for stock.
"BUDGIE'S BOY'S, INC.",MIDNIGHT,118,NULL,"Birch ST, Roslindale MA","(42.2851663, -71.13199449999999)",14B BIRCH STREET  ROSLINDALE  MA. 02131. IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE BASEMENT ALSO TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 38 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.
"HM BOSTON, LLC",2:00 AM,208,NULL,"272 Boylston ST, Boston MA","(42.3519657, -71.0694932)",272 BOYLSTON STREET; IN ONE ROOM ON THE 1ST FLOOR; 1 ROOM AND KITCHEN ON THE 2ND FLOOR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 4 PATRONS.  DPW LAND.  Capacity breakdown: 1st fl - 43 seated  36 standing; 2nd fl - 116 seated  13 standing.
"THE BLACK ROSE, INC.",2:00 AM,413,NULL,"160 State St, Boston MA","(42.3594564, -71.0537232)",In one room and kitchen on first floor; cellar for stock and one room and a kitchen on the second floor.  Capacity breakdown: 1st fl - 74 seated  119 standing; 2nd fl - 81 seated; 139 standing.
CHELSEA CITY SQUARE CORP.,1:00 AM,214,(617)212-3580,"1 Chelsea ST, Charlestown MA","(42.37116830000001, -71.0613888)",FOUR ROOMS ON FIRST FLOOR; KITCHEN IN THE REAR  BASEMENT FOR STORAGE AND TO INCLUDE AN OUTSIDE SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 44 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.
"J & K BLASI, INC.",MIDNIGHT,100,NULL,"762 Adams St, Dorchester MA","(42.2837221, -71.0553465)",IN ONE ROOM  ON THE FIRST FLOOR; KITCHEN IN THE REAR AND STORAGE IN THE BASEMENT.  Capacity breakdown: 70 seated  30 standing.
"BLEACHER BAR, LLC",2:00 AM,198,NULL,"Lansdowne St, Boston MA","(42.3471757, -71.0961519)",IN ONE LARGE ROOM WITH KITCHEN & STORAGE ON STREET LEVEL REAR; ENTRANCE AND EXITS ON LANSDOWNE STREET; SEASONAL OUTDOOR DINING FOR APPROXIMATELY 60 PATRONS ON PRIVATE PROPERTY. ALCOHOLIC BEVERAGES SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.
"EQUINOX SC BOSTON, INC.",2:00 AM,168,NULL,"4 Avery St, Boston MA","(42.3530525, -71.0631123)",FLOOR 4 AND 4 MEZZANINE WITH A MAIN ENTRANCE ON AVERY STREET AND INCLUDING BAR  RESTAURANT AND CAFE.  Management agreement between Equinox SC Boston  Inc. and Avery Food Corp. (Manager) Approved by BLB and ABCC.
"WATER DRAGON, LLC",2:00 AM,99,NULL,"324 A St, Boston MA","(42.34929959999999, -71.04956779999999)",A ONE STORY BUILDING LOCATED AT THE CORNER OF A STREET AND MELCHER STREET KNOWN AS 324 A STREET CONSISTING OF 2 090 SQ FT OF FLOOR AREA W/ DINING AREAS  A BAR  SIDEWALK SEATING FOR 16  KITCHEN  TWO BATHROOMS  A BASEMENT AREA FOR STORAGE AND PREP  AND TWO ENTRANCES/EXITS  ONE ON TO/FROM MELCHER STREE
MARATHON FOOD LLC,11:00 PM,26,NULL,"389 Centre St, Jamaica Plain MA","(42.3223073, -71.1096053)",THE BUILDING SHARES A COMMON WALL BOTH TO THE RIGHT AND LEFT.  RESTAURANT IS LOCATED IN A ONE-STORY BUILDING.  FIRST FLOOR AT CURB LEVEL CONSISTS OF DINING AREA  BATHROOM  AND KITCHEN.  WITH FULL BASEMENT THAT WILL BE USED FOR STORAGE  FOOD PREP AND OFFICE SPACE.  ONE ENTRANCE ON CENTRE STREET.
ARGUETAS CORPORATION,2:00 AM,31,NULL,"30 Bennington ST, East Boston MA","(42.3754004, -71.03796539999999)",ON FIRST FLOOR  WITH KITCHEN IN REAR  DINING AREA IN FRONT  TWO BATHROOMS AND TWO EXITS  ONE EXIT ON BENNINGTON STREET AND ANOTHER EXIT IN THE REAR OF THE BUILDING LEADING TO THE PARKING LOT.
"BON APPETIT RESTAURANT, INC.",11:00 PM,58,NULL,"1138 Blue Hill AV, Dorchester MA","(42.2855177, -71.0903534)",IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN REAR  STORAGE IN BASEMENT .
"HOST INTERNATIONAL, INC.",2:00 AM,114,NULL,"Logan Airport Terminal B, East Boston MA","(42.3645508, -71.0195449)",SPACE BA-A13 IN TERMINAL B. PIER B AT LOGAN AIRPORT. AREA CONSISTS OF 3000 SQUARE FEET.
BOSTON & MAINE FISH COMPANY,11:00 PM,23,NULL,"200 Faneuil Hall Marketplace, Boston MA","(42.3602285, -71.0547722)",@ 200 Faneuil Hall Marketplace: in one room with kitchen area  and stock stored on premises.
"CAFE JAFFA, INC.",11:00 PM,56,NULL,"48 Gloucester ST, Boston MA","(42.3486647, -71.0841093)",In one room first floor kitchen in the rear storage in the basement.
"BOSTON ATHLETIC CLUB, INC.",1:00 AM,101,NULL,"653 Summer ST, Boston MA","(42.3438988, -71.038603)",Unnumbered exits; in whole of said building.
"TASTES ON THE FLY BOSTON, LLC",2:00 AM,60,NULL,"Logan Airport Terminal C, East Boston MA","(42.367271, -71.017957)",IN ONE ROOM OF APPROXIMATELY 1080 SQ FT WITH A BAR  DINING AREA AND A SEPARATE KITCHEN AND STORAGE AREA IN TERMINAL C.
"TASTES ON THE FLY BOSTON, LLC",2:00 AM,180,NULL,"Logan Airport Terminal C, East Boston MA","(42.367271, -71.017957)",A 1900 SQ FT ONE ROOM WITH A BAR  KITCHEN AND A SEPARATE KITCHEN AND STORAGE AREA IN TERMINAL C  PIER B.
"SLESAR BROS. BREWING COMPANY, INC.",1:00 AM,420,(617)719-6260,"61 Brookline AV, Boston MA","(42.3471895, -71.09908109999999)",In one (1) large room and kitchen and storage on first floor; entrance on Brookline Avenue with emergency exits to adjacent parking area.  Capacity breakdown per ISD: 220 seating; 200 standing.
"First Boston Tenpin, Inc.",1:00 a.m.,250,(617)740-1403,"820 William T Morrissey BLVD, Dorchester MA","(42.2939102, -71.04634100000001)",In one room on the first floor; kitchen in the rear  storage  pizza patio inside of the bowling alley  boutique area with a bar and six stools.
BEANTOWN BURGER COMPANY,1:00 AM,52,NULL,"1100 Boylston ST, Boston MA","(42.3468102, -71.08847329999999)",A RESTAURANT LOCATED ON THE FIRST FLOOR OF THE BUILDING  WITH ONE MAIN ENTRANCE/EXIT AND KITCHEN AND STORAGE IN THE REAR AND BASEMENT.  WITH A SEASONAL OUTDOOR PATIO SEATING FOR 8 PATRONS LOCATED ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.
"BOSTON URBAN HOSPITALITY, INC.",1:00 AM,181,NULL,"1375 Washington St, Roxbury MA","(42.3416056, -71.06958510000001)",5160 SQUARE FEET IN 2 ROOMS ON GROUND FLOOR; FRONT ROOM FOR DINING AND BAR WITH KITCHEN IN BACK ROOM.  MAIN ENTRANCE AND EMERGENCY EXITS ON WASHINGTON STREET; AND INCLUDING SEASONAL OUTDOOR PATIO WITH 29 SEATS ON CITY SIDEWALK AREA BETWEEN THE HOURS OF 11:00 A.M. - 10:00 P.M. SUNDAY & MONDAY & 11:00
"THE CLUB AT BOSTON COLLEGE, INC.",2:00 AM,361,NULL,"100 Federal ST, Boston MA","(42.355028, -71.05604459999999)",IN ONE MAIN DINING ROOM  GRILL  BAR  LOUNGE AND SEVERAL PRIVATE DINING ROOMS  EACH OF WHICH IS LOCATED ON THE 36TH FLOOR; KITCHEN AND STORAGE IN CENTER OF FLOOR  WITH A 2:00 A.M. CLOSING
ROWES WHARF LIMITED PARTNERSHIP,2:00 AM,0,NULL,"70 Rowes Wh, Boston MA","(42.3565323, -71.05021479999999)",IN THE WHOLE OF SAID BUILDING OF THE ATLANTIC AVENUE BUILDING AND THE OUTSIDE AREA TO THE REAR OF 30-70 ROWES WHARF TO THE WATER LINE WITH A 2:00 A.M. RESTRICTION AND AN AREA ON THE GROUND FLOOR OF THE CENTRAL WHARF BUILDING. INCLUDEs AN ANNUAL OUTDOOR SERVICE AREA ON THE SOUTH
B.P.O.E. OF THE UNITED STATES OF AMERICA INC.,2:00 AM,400,NULL,"1 Morrell ST, West Roxbury MA","(42.2736599, -71.1692666)",Rear emergency exits; in whole of said building.
"MARRIOTT HOTEL SERVICES, INC.",2:00 AM,0,NULL,"110 Huntington Av, Boston MA","(42.3470204, -71.07928869999999)",IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.)
MUSEUM OF SCIENCE,1:00 AM,3957,NULL,"1 Science Pk, Boston MA","(42.36779110000001, -71.0708196)",The entire building located within the City of Boston.
"BOSTON CULINARY GROUP, INC.",2:00 AM,2677,NULL,"539 Washington ST, Boston MA","(42.3540056, -71.0623355)",IN WHOLE OF SAID BUILDING/THEATRE  WITH MAIN ENTRANCE ON WASHINGTON STREET AND LOADING EXIT/ENTRANCE ON MASON STREET. CONCESSION AGREEMENT BETWEEN BOSTON OPERA HOUSE VENTURES  LLC AND BOSTON CULINARY GROUP APPROVED BY BLB AND ABCC.
IRENE NGUYEN,1:00 AM,140,NULL,"1221 Dorchester AV, Dorchester MA","(42.3090796, -71.05842520000002)",RESTAURANT AND BAR COMPRISED OF 2500 SQ. FT ON THE FIRST FLOOR  2000 SQ. FT ON THE SECOND FLOOR.  2 FRONT ENTRANCE/EXITS AND 1 REAR EXIT ON THE FIRST FLOOR; 1 FRONT AND 1 REAR EXIT ON THE SECOND FLOOR.
BOSTON PALM CORPORATION,2:00 AM,292,NULL,"1 International PL, Boston MA","(42.3559813, -71.05228389999999)",IN ONE (1) ROOM IN THE LOBBY OF ONE INTERNATIONAL PLACE INCLUDING KITCHEN AND STORAGE; ENTRANCES/EXITS TO INTERNATIONAL PLACE LOBBY AND TO OLIVER STREET.  INCLUDES OUTDOOR SEATING ON PRIVATE PROPERTY FOR 72 PATRONS FROM 10:00 A.M. - MIDNIGHT.  ONE INTERNATIONAL PLACE  BOSTON  MA  02110
"BOSTON 1927 LESSEE, INC.",2:00 AM,0,NULL,"30 Providence St, Boston MA","(42.35712669999999, -71.0598698)",@ 30 & 50 Providence Street; 64 Arlington Street: In whole of said building with mini bars in 941 of the guestrooms.  Includes outdoor seasonal (April-October) patio on private property for 30 patrons.  SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF
"TSI Summer Street, LLC",9:00 p.m.,301,(617)482-8881,"100 Summer ST, Boston MA","(42.3538104, -71.057391)",Health and Fitness Club located in one (1) large room on 1st floor of 100 Summer Street  with entrance and exit on Summer Street and exit through building lobby.
"KUN JIN KIM, INDIVIDUAL",2:00 AM,98,NULL,"827 Boylston ST, Boston MA","(42.3489405, -71.0825443)",Two rooms and kitchen first floor; two rear rooms and two side rooms on the first first floor; cellar for stock.  Capacity breakdown: 16 standing  82 seated.
"BOSTON STREET, INC.",1:00 AM,84,NULL,"224 Boston ST, Dorchester MA","(42.3222649, -71.0608499)",Two connected rooms with entrances on Boston Street - Kitchen on the first floor  outside patio  and basement for stock.
"BOSTON TEA PARTY SHIP, INC",2:00 AM,499,NULL,"306 Congress ST, Boston MA","(42.35221420000001, -71.0513089)",NONE
B.T.U.H.W.F. SERVICE CORPORATION,1:00 AM,1031,NULL,"180 Mount Vernon ST, Dorchester MA","(42.32167159999999, -71.0466196)",Ten Rooms on the First Floor with a kitchen and storage area.  Capacity breakdown: Lounge - 100; Room 1 - 300; Room 2 - 294; Room 3 - 337
Trustees of Boston University,1:00 AM,1051,(617)353-2990,"264 Huntington AV, Boston MA","(42.341722, -71.08554219999999)",In three floors; one room (lobby) on each floor; storage on the first floor.
"CLOVER VENTURES, LLC",2:00 AM,427,NULL,"131 State ST, Boston MA","(42.358996, -71.054236)",ON TWO (2) FLOORS  KITCHEN ON FIRST FLOOR IN REAR  STORAGE IN BASEMENT.  FIRST AND SECOND FLOORS:  DINING ROOMS WITH BAR SEATING. TO INCLUED A SEASONAL OUTDOOR SIDEWALK PATIO WITH 26 SEATS BETWEEN THE HOURS OF NOON TO 11:00 P.M.
GOODCHEER ENTERPRISES LLC,2:00 AM,369,NULL,"29 Stanhope St, Boston MA","(42.3485979, -71.0730304)",ON 2 FLOORS  MAIN ENTRANCE & EXIT ON STANHOPE ST. 1ST FL (MAIN LEVEL): REST & LOUNGE SEATING  BAR. GROUND FLOOR (LOWER LEVEL): IN (4) ROOMS; REST & LOUNGE SEATING  KITCHEN  STORAGE  OFFICE. INCLUDES AN ANNUAL OUTDOOR PATIO ON PRIVATE PROPERTY FOR 24 PATRONS BETWEEN THE HOURS OF 11:30 AM-11:00PM.
"NEW PETE'S, LLC",2:00 AM,331,NULL,"267 Franklin St, Boston MA","(42.3565179, -71.0532202)",IN ONE ROOM  OUTDOOR SEATING ON THE FRANKLIN STREET  SIDE  KITCHEN AND STORAGE ROOM ON 1ST FLOOR; A PORTION OF THE LOBBY  OUTSIDE SEATING 1ST FLOOR; 1 ROOM & STORAGE ROOM MEZZ.LEVEL.  Capacity breakdown: 1st fl - 207; mezzanine - 124.
"GINA GUERRERO, INDIVIDUAL",1:00 AM,36,NULL,"102 Meridian ST, East Boston MA","(42.37272859999999, -71.0392215)",MAIN ENTRANCE 102 MERIDIAN STREET - ONE LARGE ROOM WITH TABLE SEATING; 1500 SQUARE FEET; BACK DOOR TO LONDON STREET.
KEANKRUTA LLC,MIDNIGHT,40,(617)477-4519,"Washington St, Jamaica Plain MA","(42.3059805, -71.10796950000001)",One story building  with licensed premises on first floor consisting of 1 entrance and 2 exits; two restrooms (1 307 sq. ft); storage and office space in basement.
"Bred Winner, LLC",11:00 PM,0,(617)892-0231,"2255 Dorchester Av, Dorchester MA","(42.27336589999999, -71.06799699999999)",Restaurant  1200 square feet of floor space located on the first floor of 2255 Dorchester Avenue  Boston  MA 02124-5624. Open kitchen (700 sq ft)  5 tables  standing bar. Seating area (300 sq ft) One bathroom  5 sinks (One bay sink  three hand wash sinks and one rinse sink). Also mop sink. One 200 s
"THE BREWER'S FORK, LLC",12:00 AM,115,(617)429-6517,"29 Bunker Hill St, Charlestown MA","(42.3763397, -71.0566846)",IN ONE ROOM ON FIRST FLOOR WITH A BAR WITH 18 SEATS  WITH KITCHEN AND EMERGENCY EXIT IN REAR  WITH SEASONAL OUTDOOR SEATING ON PRIVATE PROPERTY FOR 24 PATRONS BETWEEN THE HOURS OF 11:00 A.M.-MIDNIGHT.  CELLAR FOR STOCK.
"STRETFORD END, INC.",2:00 AM,476,NULL,"158 Brighton Av, Allston MA","(42.3528732, -71.1325896)",Two rear exits for emergency;in 1 room & kitchen area on the 1st floor; rear basement for stock.  476 persons - 38 persons seated; 438 persons standing
SAHA-PAKEE CORP.,1:00 AM,107,NULL,"1033 Commonwealth AV, Boston MA","(42.3522769, -71.1218464)",ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN REAR AND SMALL AREA IN REAR FOR STOCK AND  TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER.  DPW LAND
"111, LLC",2:00 AM,110,NULL,"111 Dartmouth ST, Boston MA","(42.3464991, -71.075335)",111 Dartmouth St.; First Floor consisting of on room with four seating areas and bar  kitchen and storage in the rear; storage and prep area in the basement.
BUK KYUNG CORP.,1:00 AM,62,NULL,"151 Brighton AV, Allston MA","(42.3531975, -71.1318318)",IN TWO (2) ROOMS WITH KITCHENS ON THE FIRST FLOOR; BASEMENT FOR STORAGE; TWO (2) ENTRANCES (151-155 BRIGHTON AVENUE) WITH EMERGENCY EXITS TO REAR. CAPACITY BREAKDOWN: BUK KYUNG - 62 PERSONS; REFUGE CAFE - 37 PERSONS.
"MANRAJ, INC.",11:00 PM,60,NULL,"701 Centre ST, Jamaica Plain MA","(42.311639, -71.1146727)",701 Centre Street; in one room on the first floor with kitchen; also storage and kitchen in basement.
"MONTANUS, INC.",2:00 AM,49,NULL,"50 Dalton ST, Boston MA","(42.3469888, -71.085711)",In one room on the ground floor  with kitchen  seasonal outdoor patio on sidewalk in front of premises - storage in rear emergency exit in alley in rear.
HAMPSHIRE HOUSE CORPORATION,2:00 AM,569,NULL,"84 Beacon ST, Boston MA","(42.35593919999999, -71.0712463)",Unnumbered entrance on Byron Street; in basement  first  second  third  fifth  and sixth floors of said building.  CAPACITY BREAKDOWN: REST. BASEMENT - 63; LOUNGE BASEMENT - 69; REST. 1ST FL(GEORGIAN RM)  - 38; LOUNGE 1ST FL - 55; 2ND FL DINING RM - 200; 2ND FL LOUNGE - 74; 3RD FL - 70.
"BIC BURGERS SPRING STREET, LLC",10:00 PM,103,(631)629-4919,"77 Spring ST, West Roxbury MA","(42.2779275, -71.16348359999999)",ON ONE FLOOR  IN THE SHAW'S SHOPPING CENTER AT 77 SPRING STREET  WEST ROXBURY; MAIN ENTRANCE/EXIT IN FRONT OF RESTAURANT; DINING ROOM IN FRONT;  KITCHEN  RESTROOMS AND EMERGENCY EXIT IN REAR;  OUTDOOR PATIO ON PRIVATE PROPERTY WITH 16 SEATS BETWEEN THE HOURS OF 11:30 A.M.-10:00 P.M. SEVEN DAYS A WEE
Bic Burgers Commonwealth LLC,1:00 AM,110,NULL,"961 Commonwealth AV, Boston MA","(42.35202, -71.119081)",On one floor; main entrance/exit from Commonwealth Avenue;  dining room in front; kitchen  bathrooms and emergency exit in the rear; outdoor patio with 16 seats on City of Boston property between the hours of 11:00 a.m.-11:00 p.m.
"C & H, INC.",2:00 AM,193,NULL,"252 Western AV, Allston MA","(42.3631468, -71.1328292)",Rear emergency exit; in one room on the first floor; cellar for stock and enclose the porch as a part of room on first floor.
"BITTON, LLC",1:00 AM,81,NULL,"Newbury St, Boston MA","(42.3492917, -71.0836492)","REAR ENTRANCES FOR STOCK; TWO ROOMS  BAR AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK WITH OUTDOOR PATIO.( MANAGEMENT SERVICES AGREEMENT BETWEEN BITTON  LLC AS LICENSEE AND CAFETERIA  BOSTON  LLC DOING BUSINESS AS ""CAFETERIA BOSTON"" APPROVED BY BLB AND ABCC.)  Capacity breakdown: basement - 41; 1st"
REINA HENRIQUEZ,11:00 PM,19,NULL,"80 Bennington ST, East Boston MA","(42.3760892, -71.0361064)",IN ONE ROOM ON FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.
"CAFFÉ DELLO SPORT, INC.",1:00 AM,75,NULL,"308 Hanover ST, Boston MA","(42.364349, -71.0542)",IN ONE ROOM  PREP AREA AND STORAGE ON THE FIRST FLOOR
"CAFFE PARADISO, INC.",2:00 AM,130,NULL,"255 Hanover ST, Boston MA","(42.3631925, -71.0547405)",In one room on the first floor with food prep area; basement for stock; one room in the basement for patrons.  Capacity breakdown: 1st fl - 80; basement - 50.
"CAFFE VITTORIA, INC.",1:00 AM,181,NULL,"296 Hanover ST, Boston MA","(42.3640924, -71.0543467)",Three rooms on the first floor  two rooms in basement plus kitchen area and stock room in basement with an outside patio with eight (8) tables and thirty-two (32) seats.
"HUNTINGTON THEATRE COMPANY, INC.",1:00 AM,929,NULL,"527 Tremont St, Boston MA","(42.3447969, -71.07095)",IN WHOLE OF SAID BUILDING; EXCEPT SMALL REHEARSAL HALL ON SECOND FLOOR AND  THE CAPITAL ARTS RESOURCE ROOM ON THE THIRD FLOOR.
